no_order;kode;color;width;qty_gross;supplier;tipe;po;price;amount;currency;rate;price_usd;amount_usd;ket
BL-HDM0192;AHD100281N;A.SILVER;-;5481;P&H CORP.;Korea;MBL22021;2350;12880350;WON;1100;21.364;11709.41;-
BL-HDM0192;AHDSN0657N;A.SILVER;-;11072;P&H CORP.;Korea;MBL22021;95;1051840;WON;1100;0,6;956.22.00;-
BL-HDM0192;AHDSN0659N;A.SILVER;-;11072;P&H CORP.;Korea;MBL22021;97;1073984;WON;1100;0,6125;976.35.00;-
BL-HDM0192;AMSHD1509N;A.SILVER;-;11072;P&H CORP.;Korea;MBL22021;47;520384;WON;1100;0,296527778;473.08.00;60
BL-HDM0192;AMSHD17071;A.SILVER;-;22144;D&D KOREA;Korea;MBL22021;60;1328640;WON;1100;0,378472222;1207.85;60
BL-HDM0192;AMSPO1507N;A.SILVER;-;27680;P&H CORP.;Korea;MBL22021;15;415200;WON;1100;0,094444444;377.45.00;60
BL-HDM0192;AMSPO1507N;A.SILVER;-;44287;D&D KOREA;Korea;MBL22021;13;575731;WON;1100;0,081944444;523.39.00;60
BL-HDM0192;AMSSC15010;A.SILVER;-;22144;P&H CORP.;Korea;MBL22021;29;642176;WON;1100;0,183333333;583.08.00;60
BL-HDM0192;AMSSC15010;A.SILVER;-;22144;D&D KOREA;Korea;MBL22021;26.05.00;586816;WON;1100;0,167361111;533.47.00;60
BL-HDM0192;AMSST15010;A.SILVER;-;33215;P&H CORP.;Korea;MBL22021;16;531440;WON;1100;0,100694444;483.13.00;60
BL-HDM0192;AMSST15010;A.SILVER;-;44287;D&D KOREA;Korea;MBL22021;15.05;686448.5;WON;1100;0,097916667;624.04.00;60
BL-HDM0192;APWAS4121;WHITE;-;27680;P&H CORP.;Korea;MBL22021;01.05;41520;WON;1100;0.0014;37.75;60
BL-HDM0192;APWAS4121;WHITE;-;44287;D&D KOREA;Korea;MBL22021;01.05;66430.5;WON;1100;0.0014;60.39.00;60
BL-HDM0192;BHDCAS013;-----;-;5481;PT.CRHIG WORLD;Local;MBL22021;00.01;548.01.00;USD;1;00.01;548.01.00;-
BL-HDM0192;BHDCT0274A;-----;-;5481;PT.CRHIG WORLD;Local;MBL22021;00.06;328.86;USD;1;00.06;328.86;-
BL-HDM0192;BHDLAB035;-----;-;5481;PT.CRHIG WORLD;Local;MBL22021;00.02;109.62;USD;1;00.02;109.62;-
BL-HDM0192;BHDLAB288;BLACK/GREY;-;5536;IMP.RECA MAINETTI ASIA LIMITED-HD;Import;MBL22021;00.13;714.14.00;USD;1;0,089583333;714.14.00;-
BL-HDM0192;BHDSZ0183M;-----;-;5481;IMP.TAG TIME-HD;Import;MBL22021;00.04;207.73;USD;1;0,263194444;207.73;60
BL-HDM0192;LBLCX17000;WHITE;"58""";282;IMP.JIAXING BANGLIN TEXTILE-HD;Import;MBL22021;01.57;442.74;USD;1;01.57;442.74;50
BL-HDM0192;LJYTC01190;BLACK;"58""";2840;IMP.FURTHER  / SUZHOU LANGYUE-HD;Import;MBL22021;01.35;3834;USD;1;01.35;3834;-
BL-HDM0192;LNOX57003;BLACK;"59""";328;G&H INTERNATIONAL CO.,LTD;Korea;MBL22021;01.08;590.04.00;LSD;1;01.08;590.04.00;50
BL-HDM0192;LNTAPU100;BLACK;"60""";2692;G&H INTERNATIONAL CO.,LTD;Korea;MBL22021;1;2692;LSD;1;1;2692;50
BL-HDM0192;LSPA84001;BLACK;"88""";355;YOONJINTEX;Korea;MBL22021;05.08;2059;LSD;1;05.08;2059;50
BL-HDM0192;LSPAWT0020;BLACK;"58""";1979;WILL-TEX;Korea;MBL22021;02.12;4195.48.00;USD;1;02.12;4195.48.00;50
BL-HDM0192;OCOWDIA01;BLACK/GREY;-;196272;LEATHER FIELD (OK WORLD);Korea;MBL22021;01.07;333662.4;LSD;1;01.07;333662.4;-
BL-HDM0192;PBC836318;-----;-;914;PT ZINYANG INDONESIA;Local;MBL22021;7349;6716986;RP;12000;4,252777778;559.75;-
BL-HDM0192;PBCHD0003;-----;-;10962;IMP.OCTANE5 - HD;Import;MBL22021;00.02;164.43.00;USD;1;0.015;164.43.00;60
BL-HDM0192;PBO856521;-----;-;914;PT ZINYANG INDONESIA;Local;MBL22021;30350;27739900;RP;12000;25.292;2311.66;-
BL-HDM0192;PHDHT020;-----;-;5481;IMP.OCTANE5 - HD;Import;MBL22021;00.04;191.84;USD;1;0.035;191.84;60
BL-HDM0192;PHDHTP578;-----;-;5536;IMP.RECA MAINETTI ASIA LIMITED-HD;Import;MBL22021;00.03;171.62;USD;1;0.031;171.62;-
BL-HDM0192;PHDHTP586;-----;-;5536;IMP.RECA MAINETTI ASIA LIMITED-HD;Import;MBL22021;00.03;171.62;USD;1;0.031;171.62;60
BL-HDM0192;PHDHTP588;-----;-;5536;IMP.RECA MAINETTI ASIA LIMITED-HD;Import;MBL22021;00.03;171.62;USD;1;0.031;171.62;60
BL-HDM0192;PHDHTP592;-----;-;5536;IMP.RECA MAINETTI ASIA LIMITED-HD;Import;MBL22021;00.03;171.62;USD;1;0.031;171.62;-
BL-HDM0192;PHDHTP621;-----;-;5536;IMP.RECA MAINETTI ASIA LIMITED-HD;Import;MBL22021;00.03;171.62;USD;1;0.031;171.62;-
BL-HDM0192;PHDHTP640;-----;-;5536;IMP.RECA MAINETTI ASIA LIMITED-HD;Import;MBL22021;00.04;215.09.00;USD;1;0.039;215.09.00;60
BL-HDM0192;PHDHTP687;-----;-;5536;IMP.RECA MAINETTI ASIA LIMITED-HD;Import;MBL22021;00.03;171.62;USD;1;0.031;171.62;-
BL-HDM0192;PHDHTP693;-----;-;5536;IMP.RECA MAINETTI ASIA LIMITED-HD;Import;MBL22021;00.03;171.62;USD;1;0.031;171.62;-
BL-HDM0192;PHDHTP712;-----;-;5536;IMP.RECA MAINETTI ASIA LIMITED-HD;Import;MBL22021;00.03;171.62;USD;1;0.031;171.62;-
BL-HDM0192;PHDHTP839;-----;-;5536;IMP.RECA MAINETTI ASIA LIMITED-HD;Import;MBL22021;00.13;736.29.00;USD;1;0,092361111;736.29.00;-
