id_mrp	order	kode	color	width	qty_gross	supplier	tipe	po	price	amount	currency	rate	price_usd	amount_usd	kk	qty_sisa
1	BL-HDM0192	AHD100281N	A.SILVER	-	5481	P&H CORP.	Korea	MBL22021	2350	12880350	WON	1100	2.1364	11709.41	-	5481
2	BL-HDM0192	AHDSN0657N	A.SILVER	-	11072	P&H CORP.	Korea	MBL22021	95	1051840	WON	1100	0.0864	956.22	-	11072
3	BL-HDM0192	AHDSN0659N	A.SILVER	-	11072	P&H CORP.	Korea	MBL22021	97	1073984	WON	1100	0.0882	976.35	-	11072
4	BL-HDM0192	AMSHD1509N	A.SILVER	-	11072	P&H CORP.	Korea	MBL22021	47	520384	WON	1100	0.0427	473.08	60	11072
5	BL-HDM0192	AMSHD17071	A.SILVER	-	22144	D&D KOREA	Korea	MBL22021	60	1328640	WON	1100	0.0545	1207.85	60	22144
6	BL-HDM0192	AMSPO1507N	A.SILVER	-	27680	P&H CORP.	Korea	MBL22021	15	415200	WON	1100	0.0136	377.45	60	27680
7	BL-HDM0192	AMSPO1507N	A.SILVER	-	44287	D&D KOREA	Korea	MBL22021	13	575731	WON	1100	0.0118	523.39	60	44287
8	BL-HDM0192	AMSSC15010	A.SILVER	-	22144	P&H CORP.	Korea	MBL22021	29	642176	WON	1100	0.0264	583.8	60	22144
9	BL-HDM0192	AMSSC15010	A.SILVER	-	22144	D&D KOREA	Korea	MBL22021	26.5	586816	WON	1100	0.0241	533.47	60	22144
10	BL-HDM0192	AMSST15010	A.SILVER	-	33215	P&H CORP.	Korea	MBL22021	16	531440	WON	1100	0.0145	483.13	60	33215
11	BL-HDM0192	AMSST15010	A.SILVER	-	44287	D&D KOREA	Korea	MBL22021	15.5	686448.5	WON	1100	0.0141	624.04	60	44287
12	BL-HDM0192	APWAS4121	WHITE	-	27680	P&H CORP.	Korea	MBL22021	1.5	41520	WON	1100	0.0014	37.75	60	27680
13	BL-HDM0192	APWAS4121	WHITE	-	44287	D&D KOREA	Korea	MBL22021	1.5	66430.5	WON	1100	0.0014	60.39	60	44287
14	BL-HDM0192	BHDCAS013	-----	-	5481	PT.CRHIG WORLD	Local	MBL22021	0.1	548.1	USD	1	0.1	548.1	-	5481
15	BL-HDM0192	BHDCT0274A	-----	-	5481	PT.CRHIG WORLD	Local	MBL22021	0.06	328.86	USD	1	0.06	328.86	-	5481
16	BL-HDM0192	BHDLAB035	-----	-	5481	PT.CRHIG WORLD	Local	MBL22021	0.02	109.62	USD	1	0.02	109.62	-	5481
17	BL-HDM0192	BHDLAB288	BLACK/GREY	-	5536	IMP.RECA MAINETTI ASIA LIMITED-HD	Import	MBL22021	0.13	714.14	USD	1	0.129	714.14	-	5536
18	BL-HDM0192	BHDSZ0183M	-----	-	5481	IMP.TAG TIME-HD	Import	MBL22021	0.04	207.73	USD	1	0.0379	207.73	60	5481
19	BL-HDM0192	LBLCX17000	WHITE	"58"""	282	IMP.JIAXING BANGLIN TEXTILE-HD	Import	MBL22021	1.57	442.74	USD	1	1.57	442.74	50	0
20	BL-HDM0192	LJYTC01190	BLACK	"58"""	2840	IMP.FURTHER  / SUZHOU LANGYUE-HD	Import	MBL22021	1.35	3834	USD	1	1.35	3834	-	0
21	BL-HDM0192	LNOX57003	BLACK	"59"""	328	"G&H INTERNATIONAL CO.,LTD"	Korea	MBL22021	1.8	590.4	LSD	1	1.8	590.4	50	0
22	BL-HDM0192	LNTAPU100	BLACK	"60"""	2692	"G&H INTERNATIONAL CO.,LTD"	Korea	MBL22021	1	2692	LSD	1	1	2692	50	0
23	BL-HDM0192	LSPA84001	BLACK	"88"""	355	YOONJINTEX	Korea	MBL22021	5.8	2059	LSD	1	5.8	2059	50	0
24	BL-HDM0192	LSPAWT0020	BLACK	"58"""	1979	WILL-TEX	Korea	MBL22021	2.12	4195.48	USD	1	2.12	4195.48	50	0
25	BL-HDM0192	OCOWDIA01	BLACK/GREY	-	196272	LEATHER FIELD (OK WORLD)	Korea	MBL22021	1.7	333662.4	LSD	1	1.7	333662.4	-	196272
26	BL-HDM0192	PBC836318	-----	-	914	PT ZINYANG INDONESIA	Local	MBL22021	7349	6716986	RP	12000	0.6124	559.75	-	914
27	BL-HDM0192	PBCHD0003	-----	-	10962	IMP.OCTANE5 - HD	Import	MBL22021	0.02	164.43	USD	1	0.015	164.43	60	10962
28	BL-HDM0192	PBO856521	-----	-	914	PT ZINYANG INDONESIA	Local	MBL22021	30350	27739900	RP	12000	2.5292	2311.66	-	914
29	BL-HDM0192	PHDHT020	-----	-	5481	IMP.OCTANE5 - HD	Import	MBL22021	0.04	191.84	USD	1	0.035	191.84	60	5481
30	BL-HDM0192	PHDHTP578	-----	-	5536	IMP.RECA MAINETTI ASIA LIMITED-HD	Import	MBL22021	0.03	171.62	USD	1	0.031	171.62	-	5536
31	BL-HDM0192	PHDHTP586	-----	-	5536	IMP.RECA MAINETTI ASIA LIMITED-HD	Import	MBL22021	0.03	171.62	USD	1	0.031	171.62	60	5536
32	BL-HDM0192	PHDHTP588	-----	-	5536	IMP.RECA MAINETTI ASIA LIMITED-HD	Import	MBL22021	0.03	171.62	USD	1	0.031	171.62	60	5536
33	BL-HDM0192	PHDHTP592	-----	-	5536	IMP.RECA MAINETTI ASIA LIMITED-HD	Import	MBL22021	0.03	171.62	USD	1	0.031	171.62	-	5536
34	BL-HDM0192	PHDHTP621	-----	-	5536	IMP.RECA MAINETTI ASIA LIMITED-HD	Import	MBL22021	0.03	171.62	USD	1	0.031	171.62	-	5536
